message_id,po_number,item_number,supplier_id,direction,subject,body,sent_date,received_date,sentiment,extracted_commit_date,extracted_qty,source_system
MSG000000011,4500000003,00030,S100022,INBOUND,PO 4500000003 Item 00030 - Promised Late,Supplier advised revised delivery date of 2026-04-14 due to capacity constraints.,2026-05-26,2026-05-14,concerned,2026-04-14,1301,PORTAL
MSG000000012,4500000003,00040,S100022,OUTBOUND,PO 4500000003 Item 00040 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-20,,urgent,2026-05-04,0,GMAIL
MSG000000013,4500000003,00050,S100022,OUTBOUND,PO 4500000003 Item 00050 - Partial,Supplier response received; details require buyer review.,2026-05-24,,positive,2026-03-03,166,OUTLOOK
MSG000000014,4500000004,00010,S100008,OUTBOUND,PO 4500000004 Item 00010 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-18,,urgent,2026-02-12,0,OUTLOOK
MSG000000015,4500000004,00020,S100008,INBOUND,PO 4500000004 Item 00020 - Partial,Supplier response received; details require buyer review.,2026-05-28,2026-05-28,neutral,2026-04-08,642,REGRELLO
MSG000000016,4500000004,00030,S100008,OUTBOUND,PO 4500000004 Item 00030 - Acknowledged,Supplier response received; details require buyer review.,2026-05-27,,neutral,2026-03-10,136,PORTAL
MSG000000017,4500000004,00040,S100008,INBOUND,PO 4500000004 Item 00040 - Promised Late,Supplier advised revised delivery date of 2026-04-26 due to capacity constraints.,2026-05-19,2026-05-20,concerned,2026-04-26,92,GMAIL
MSG000000018,4500000004,00050,S100008,OUTBOUND,PO 4500000004 Item 00050 - Qty Dispute,Supplier response received; details require buyer review.,2026-05-18,,positive,2026-02-12,778,PORTAL
MSG000000019,4500000004,00060,S100008,INBOUND,PO 4500000004 Item 00060 - Partial,Supplier response received; details require buyer review.,2026-05-24,2026-05-24,neutral,2026-03-18,237,GMAIL
MSG000000020,4500000005,00010,S100031,OUTBOUND,PO 4500000005 Item 00010 - Acknowledged,Supplier response received; details require buyer review.,2026-05-13,,urgent,2026-05-26,933,REGRELLO
MSG000000021,4500000005,00020,S100031,OUTBOUND,PO 4500000005 Item 00020 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-17,,urgent,2026-06-02,0,OUTLOOK
MSG000000022,4500000006,00010,S100033,OUTBOUND,PO 4500000006 Item 00010 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-13,,urgent,2026-04-30,0,REGRELLO
MSG000000023,4500000007,00010,S100019,OUTBOUND,PO 4500000007 Item 00010 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-13,,urgent,2026-05-03,0,GMAIL
MSG000000024,4500000008,00010,S100023,OUTBOUND,PO 4500000008 Item 00010 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-28,,urgent,2026-06-01,0,OUTLOOK
MSG000000025,4500000008,00030,S100023,OUTBOUND,PO 4500000008 Item 00030 - Acknowledged,Supplier response received; details require buyer review.,2026-05-22,,negative,2026-05-20,53,PORTAL
MSG000000026,4500000008,00040,S100023,OUTBOUND,PO 4500000008 Item 00040 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-28,,urgent,2026-05-05,0,GMAIL
MSG000000027,4500000008,00050,S100023,OUTBOUND,PO 4500000008 Item 00050 - Acknowledged,Supplier response received; details require buyer review.,2026-05-19,,concerned,2026-04-20,8,OUTLOOK
MSG000000028,4500000009,00010,S100034,OUTBOUND,PO 4500000009 Item 00010 - Acknowledged,Supplier response received; details require buyer review.,2026-05-20,,neutral,2026-06-20,2155,GMAIL
MSG000000029,4500000009,00020,S100034,INBOUND,PO 4500000009 Item 00020 - Promised Late,Supplier advised revised delivery date of 2026-08-02 due to capacity constraints.,2026-05-23,2026-05-19,concerned,2026-08-02,884,GMAIL
MSG000000030,4500000009,00040,S100034,OUTBOUND,PO 4500000009 Item 00040 - Price Dispute,Supplier response received; details require buyer review.,2026-05-28,,concerned,2026-07-21,167,GMAIL
MSG000000031,4500000009,00050,S100034,OUTBOUND,PO 4500000009 Item 00050 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-15,,urgent,2026-06-14,0,GMAIL
MSG000000032,4500000009,00060,S100034,OUTBOUND,PO 4500000009 Item 00060 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-26,,urgent,2026-08-15,0,OUTLOOK
MSG000000033,4500000009,00070,S100034,OUTBOUND,PO 4500000009 Item 00070 - Partial,Supplier response received; details require buyer review.,2026-05-21,,negative,2026-06-22,978,REGRELLO
MSG000000034,4500000010,00010,S100025,OUTBOUND,PO 4500000010 Item 00010 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-23,,urgent,2026-05-01,0,GMAIL
MSG000000035,4500000010,00020,S100025,INBOUND,PO 4500000010 Item 00020 - Promised Late,Supplier advised revised delivery date of 2026-04-25 due to capacity constraints.,2026-05-17,2026-05-28,concerned,2026-04-25,11,OUTLOOK
MSG000000036,4500000010,00030,S100025,OUTBOUND,PO 4500000010 Item 00030 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-16,,urgent,2026-03-24,0,PORTAL
MSG000000037,4500000010,00040,S100025,INBOUND,PO 4500000010 Item 00040 - Promised Late,Supplier advised revised delivery date of 2026-04-15 due to capacity constraints.,2026-05-20,2026-05-23,concerned,2026-04-15,18,REGRELLO
MSG000000038,4500000011,00020,S100006,OUTBOUND,PO 4500000011 Item 00020 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-18,,urgent,2026-06-22,0,GMAIL
MSG000000039,4500000011,00030,S100006,INBOUND,PO 4500000011 Item 00030 - Partial,Supplier response received; details require buyer review.,2026-05-27,2026-05-13,urgent,2026-05-15,156,PORTAL
MSG000000040,4500000011,00040,S100006,INBOUND,PO 4500000011 Item 00040 - Acknowledged,Supplier response received; details require buyer review.,2026-05-25,2026-05-18,neutral,2026-06-14,2752,PORTAL
MSG000000041,4500000011,00050,S100006,OUTBOUND,PO 4500000011 Item 00050 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-17,,urgent,2026-04-29,0,REGRELLO
MSG000000042,4500000012,00020,S100011,INBOUND,PO 4500000012 Item 00020 - Qty Dispute,Supplier response received; details require buyer review.,2026-05-21,2026-05-25,neutral,2026-05-11,368,PORTAL
MSG000000043,4500000012,00030,S100011,INBOUND,PO 4500000012 Item 00030 - Rejected,Supplier rejected PO line. Capacity unavailable. Buyer action required.,2026-05-27,2026-05-20,negative,,29,REGRELLO
MSG000000044,4500000014,00010,S100038,INBOUND,PO 4500000014 Item 00010 - Price Dispute,Supplier response received; details require buyer review.,2026-05-19,2026-05-27,neutral,2026-04-20,307,OUTLOOK
MSG000000045,4500000014,00030,S100038,INBOUND,PO 4500000014 Item 00030 - Promised Late,Supplier advised revised delivery date of 2026-03-28 due to capacity constraints.,2026-05-20,2026-05-13,concerned,2026-03-28,17,GMAIL
MSG000000046,4500000014,00040,S100038,OUTBOUND,PO 4500000014 Item 00040 - Acknowledged,Supplier response received; details require buyer review.,2026-05-20,,urgent,2026-03-05,220,PORTAL
MSG000000047,4500000014,00060,S100038,INBOUND,PO 4500000014 Item 00060 - Partial,Supplier response received; details require buyer review.,2026-05-20,2026-05-23,concerned,2026-03-29,79,OUTLOOK
MSG000000048,4500000015,00010,S100036,INBOUND,PO 4500000015 Item 00010 - Rejected,Supplier rejected PO line. Capacity unavailable. Buyer action required.,2026-05-19,2026-05-22,negative,,661,REGRELLO
MSG000000049,4500000016,00010,S100007,INBOUND,PO 4500000016 Item 00010 - Promised Late,Supplier advised revised delivery date of 2026-06-03 due to capacity constraints.,2026-05-19,2026-05-23,concerned,2026-06-03,35,REGRELLO
MSG000000050,4500000016,00030,S100007,OUTBOUND,PO 4500000016 Item 00030 - Acknowledged,Supplier response received; details require buyer review.,2026-05-21,,urgent,2026-03-06,12,OUTLOOK
MSG000000051,4500000016,00040,S100007,OUTBOUND,PO 4500000016 Item 00040 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-23,,urgent,2026-03-02,0,GMAIL
MSG000000052,4500000017,00010,S100028,OUTBOUND,PO 4500000017 Item 00010 - Partial,Supplier response received; details require buyer review.,2026-05-23,,neutral,2026-05-28,324,PORTAL
MSG000000053,4500000017,00020,S100028,INBOUND,PO 4500000017 Item 00020 - Partial,Supplier response received; details require buyer review.,2026-05-27,2026-05-26,concerned,2026-07-03,6,REGRELLO
MSG000000054,4500000017,00030,S100028,OUTBOUND,PO 4500000017 Item 00030 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-26,,urgent,2026-07-16,0,REGRELLO
MSG000000055,4500000017,00040,S100028,OUTBOUND,PO 4500000017 Item 00040 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-28,,urgent,2026-05-12,0,OUTLOOK
MSG000000056,4500000018,00010,S100046,OUTBOUND,PO 4500000018 Item 00010 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-15,,urgent,2026-02-12,0,OUTLOOK
MSG000000057,4500000018,00030,S100046,OUTBOUND,PO 4500000018 Item 00030 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-13,,urgent,2026-04-29,0,OUTLOOK
MSG000000058,4500000018,00040,S100046,OUTBOUND,PO 4500000018 Item 00040 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-27,,urgent,2026-04-27,0,OUTLOOK
MSG000000059,4500000019,00020,S100035,INBOUND,PO 4500000019 Item 00020 - Acknowledged,Supplier response received; details require buyer review.,2026-05-24,2026-05-16,urgent,2026-06-09,270,OUTLOOK
MSG000000060,4500000019,00040,S100035,INBOUND,PO 4500000019 Item 00040 - Rejected,Supplier rejected PO line. Capacity unavailable. Buyer action required.,2026-05-19,2026-05-25,negative,,806,PORTAL
MSG000000061,4500000019,00050,S100035,INBOUND,PO 4500000019 Item 00050 - Promised Late,Supplier advised revised delivery date of 2026-06-13 due to capacity constraints.,2026-05-13,2026-05-28,concerned,2026-06-13,68,GMAIL
MSG000000062,4500000020,00010,S100003,OUTBOUND,PO 4500000020 Item 00010 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-23,,urgent,2026-05-16,0,PORTAL
MSG000000063,4500000020,00020,S100003,OUTBOUND,PO 4500000020 Item 00020 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-18,,urgent,2026-03-10,0,GMAIL
MSG000000064,4500000020,00030,S100003,OUTBOUND,PO 4500000020 Item 00030 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-13,,urgent,2026-06-04,0,OUTLOOK
MSG000000065,4500000020,00040,S100003,OUTBOUND,PO 4500000020 Item 00040 - Acknowledged,Supplier response received; details require buyer review.,2026-05-17,,neutral,2026-03-28,1410,REGRELLO
MSG000000066,4500000020,00050,S100003,OUTBOUND,PO 4500000020 Item 00050 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-19,,urgent,2026-03-16,0,REGRELLO
MSG000000067,4500000021,00010,S100028,OUTBOUND,PO 4500000021 Item 00010 - Acknowledged,Supplier response received; details require buyer review.,2026-05-13,,neutral,2026-05-21,1343,GMAIL
MSG000000068,4500000021,00030,S100028,INBOUND,PO 4500000021 Item 00030 - Promised Late,Supplier advised revised delivery date of 2026-06-16 due to capacity constraints.,2026-05-23,2026-05-16,concerned,2026-06-16,121,PORTAL
MSG000000069,4500000021,00060,S100028,OUTBOUND,PO 4500000021 Item 00060 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-24,,urgent,2026-06-12,0,GMAIL
MSG000000070,4500000023,00010,S100009,INBOUND,PO 4500000023 Item 00010 - Promised Late,Supplier advised revised delivery date of 2026-07-20 due to capacity constraints.,2026-05-22,2026-05-21,concerned,2026-07-20,47,REGRELLO
MSG000000071,4500000023,00020,S100009,INBOUND,PO 4500000023 Item 00020 - Acknowledged,Supplier response received; details require buyer review.,2026-05-17,2026-05-24,concerned,2026-07-15,36,GMAIL
MSG000000072,4500000023,00030,S100009,OUTBOUND,PO 4500000023 Item 00030 - Partial,Supplier response received; details require buyer review.,2026-05-28,,neutral,2026-07-12,18,REGRELLO
MSG000000073,4500000023,00040,S100009,OUTBOUND,PO 4500000023 Item 00040 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-23,,urgent,2026-07-01,0,PORTAL
MSG000000074,4500000023,00050,S100009,OUTBOUND,PO 4500000023 Item 00050 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-22,,urgent,2026-05-01,0,GMAIL
MSG000000075,4500000024,00010,S100022,INBOUND,PO 4500000024 Item 00010 - Acknowledged,Supplier response received; details require buyer review.,2026-05-24,2026-05-26,neutral,2026-04-27,407,PORTAL
MSG000000076,4500000024,00020,S100022,OUTBOUND,PO 4500000024 Item 00020 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-26,,urgent,2026-02-24,0,OUTLOOK
MSG000000077,4500000024,00030,S100022,OUTBOUND,PO 4500000024 Item 00030 - Acknowledged,Supplier response received; details require buyer review.,2026-05-16,,urgent,2026-02-27,681,OUTLOOK
MSG000000078,4500000024,00040,S100022,INBOUND,PO 4500000024 Item 00040 - Acknowledged,Supplier response received; details require buyer review.,2026-05-25,2026-05-18,negative,2026-04-22,50,OUTLOOK
MSG000000079,4500000024,00050,S100022,INBOUND,PO 4500000024 Item 00050 - Promised Late,Supplier advised revised delivery date of 2026-04-27 due to capacity constraints.,2026-05-25,2026-05-16,concerned,2026-04-27,6,GMAIL
MSG000000080,4500000024,00070,S100022,INBOUND,PO 4500000024 Item 00070 - Acknowledged,Supplier response received; details require buyer review.,2026-05-18,2026-05-22,concerned,2026-03-19,140,OUTLOOK
MSG000000081,4500000025,00020,S100009,INBOUND,PO 4500000025 Item 00020 - Rejected,Supplier rejected PO line. Capacity unavailable. Buyer action required.,2026-05-18,2026-05-22,negative,,102,OUTLOOK
MSG000000082,4500000025,00040,S100009,INBOUND,PO 4500000025 Item 00040 - Partial,Supplier response received; details require buyer review.,2026-05-27,2026-05-26,negative,2026-03-05,66,GMAIL
MSG000000083,4500000026,00020,S100049,INBOUND,PO 4500000026 Item 00020 - Partial,Supplier response received; details require buyer review.,2026-05-26,2026-05-14,urgent,2026-06-18,5,GMAIL
MSG000000084,4500000027,00010,S100014,OUTBOUND,PO 4500000027 Item 00010 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-25,,urgent,2026-05-10,0,OUTLOOK
MSG000000085,4500000027,00030,S100014,OUTBOUND,PO 4500000027 Item 00030 - Qty Dispute,Supplier response received; details require buyer review.,2026-05-23,,neutral,2026-07-07,1818,OUTLOOK
MSG000000086,4500000028,00010,S100050,INBOUND,PO 4500000028 Item 00010 - Acknowledged,Supplier response received; details require buyer review.,2026-05-17,2026-05-15,urgent,2026-07-09,550,OUTLOOK
MSG000000087,4500000028,00020,S100050,INBOUND,PO 4500000028 Item 00020 - Promised Late,Supplier advised revised delivery date of 2026-06-28 due to capacity constraints.,2026-05-23,2026-05-18,concerned,2026-06-28,1901,OUTLOOK
MSG000000088,4500000028,00030,S100050,OUTBOUND,PO 4500000028 Item 00030 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-13,,urgent,2026-06-07,0,REGRELLO
MSG000000089,4500000028,00040,S100050,INBOUND,PO 4500000028 Item 00040 - Promised Late,Supplier advised revised delivery date of 2026-05-22 due to capacity constraints.,2026-05-14,2026-05-16,concerned,2026-05-22,64,PORTAL
MSG000000090,4500000029,00020,S100011,OUTBOUND,PO 4500000029 Item 00020 - Partial,Supplier response received; details require buyer review.,2026-05-22,,urgent,2026-06-08,104,PORTAL
MSG000000091,4500000029,00030,S100011,INBOUND,PO 4500000029 Item 00030 - Acknowledged,Supplier response received; details require buyer review.,2026-05-19,2026-05-27,negative,2026-06-06,447,REGRELLO
MSG000000092,4500000029,00050,S100011,OUTBOUND,PO 4500000029 Item 00050 - Partial,Supplier response received; details require buyer review.,2026-05-28,,concerned,2026-04-27,161,REGRELLO
MSG000000093,4500000029,00060,S100011,INBOUND,PO 4500000029 Item 00060 - Promised Late,Supplier advised revised delivery date of 2026-06-07 due to capacity constraints.,2026-05-21,2026-05-20,concerned,2026-06-07,237,GMAIL
MSG000000094,4500000030,00010,S100047,OUTBOUND,PO 4500000030 Item 00010 - Partial,Supplier response received; details require buyer review.,2026-05-18,,positive,2026-04-27,77,GMAIL
MSG000000095,4500000030,00020,S100047,INBOUND,PO 4500000030 Item 00020 - Acknowledged,Supplier response received; details require buyer review.,2026-05-28,2026-05-18,negative,2026-03-31,1691,REGRELLO
MSG000000096,4500000030,00030,S100047,INBOUND,PO 4500000030 Item 00030 - Acknowledged,Supplier response received; details require buyer review.,2026-05-21,2026-05-19,negative,2026-03-09,8,GMAIL
MSG000000097,4500000030,00040,S100047,OUTBOUND,PO 4500000030 Item 00040 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-24,,urgent,2026-04-26,0,OUTLOOK
MSG000000098,4500000030,00050,S100047,INBOUND,PO 4500000030 Item 00050 - Promised Late,Supplier advised revised delivery date of 2026-04-01 due to capacity constraints.,2026-05-20,2026-05-24,concerned,2026-04-01,76,PORTAL
MSG000000099,4500000030,00060,S100047,OUTBOUND,PO 4500000030 Item 00060 - Acknowledged,Supplier response received; details require buyer review.,2026-05-13,,concerned,2026-04-10,1277,OUTLOOK
MSG000000100,4500000030,00070,S100047,INBOUND,PO 4500000030 Item 00070 - Promised Late,Supplier advised revised delivery date of 2026-03-05 due to capacity constraints.,2026-05-17,2026-05-16,concerned,2026-03-05,83,REGRELLO
MSG000000101,4500000031,00010,S100023,INBOUND,PO 4500000031 Item 00010 - Rejected,Supplier rejected PO line. Capacity unavailable. Buyer action required.,2026-05-20,2026-05-22,negative,,28,OUTLOOK
MSG000000102,4500000031,00020,S100023,OUTBOUND,PO 4500000031 Item 00020 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-23,,urgent,2026-04-12,0,PORTAL
MSG000000103,4500000031,00030,S100023,INBOUND,PO 4500000031 Item 00030 - Promised Late,Supplier advised revised delivery date of 2026-05-23 due to capacity constraints.,2026-05-19,2026-05-13,concerned,2026-05-23,720,GMAIL
MSG000000104,4500000031,00040,S100023,INBOUND,PO 4500000031 Item 00040 - Price Dispute,Supplier response received; details require buyer review.,2026-05-16,2026-05-21,negative,2026-04-25,2421,GMAIL
MSG000000105,4500000031,00050,S100023,INBOUND,PO 4500000031 Item 00050 - Rejected,Supplier rejected PO line. Capacity unavailable. Buyer action required.,2026-05-15,2026-05-19,negative,,20,PORTAL
MSG000000106,4500000032,00010,S100016,OUTBOUND,PO 4500000032 Item 00010 - Acknowledged,Supplier response received; details require buyer review.,2026-05-18,,negative,2026-06-12,59,OUTLOOK
MSG000000107,4500000032,00020,S100016,OUTBOUND,PO 4500000032 Item 00020 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-22,,urgent,2026-05-04,0,REGRELLO
MSG000000108,4500000032,00040,S100016,INBOUND,PO 4500000032 Item 00040 - Partial,Supplier response received; details require buyer review.,2026-05-14,2026-05-26,neutral,2026-06-07,77,OUTLOOK
MSG000000109,4500000032,00060,S100016,INBOUND,PO 4500000032 Item 00060 - Promised Late,Supplier advised revised delivery date of 2026-04-06 due to capacity constraints.,2026-05-23,2026-05-20,concerned,2026-04-06,336,REGRELLO
MSG000000110,4500000033,00020,S100039,OUTBOUND,PO 4500000033 Item 00020 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-23,,urgent,2026-05-16,0,GMAIL
MSG000000111,4500000033,00030,S100039,INBOUND,PO 4500000033 Item 00030 - Acknowledged,Supplier response received; details require buyer review.,2026-05-17,2026-05-27,concerned,2026-06-23,197,REGRELLO
MSG000000112,4500000034,00010,S100024,INBOUND,PO 4500000034 Item 00010 - Promised Late,Supplier advised revised delivery date of 2026-04-17 due to capacity constraints.,2026-05-23,2026-05-21,concerned,2026-04-17,46,REGRELLO
MSG000000113,4500000034,00020,S100024,OUTBOUND,PO 4500000034 Item 00020 - Acknowledged,Supplier response received; details require buyer review.,2026-05-27,,concerned,2026-05-04,323,GMAIL
MSG000000114,4500000034,00030,S100024,OUTBOUND,PO 4500000034 Item 00030 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-20,,urgent,2026-05-05,0,OUTLOOK
MSG000000115,4500000034,00040,S100024,INBOUND,PO 4500000034 Item 00040 - Rejected,Supplier rejected PO line. Capacity unavailable. Buyer action required.,2026-05-27,2026-05-27,negative,,867,REGRELLO
MSG000000116,4500000034,00050,S100024,INBOUND,PO 4500000034 Item 00050 - Promised Late,Supplier advised revised delivery date of 2026-05-16 due to capacity constraints.,2026-05-21,2026-05-18,concerned,2026-05-16,182,OUTLOOK
MSG000000117,4500000034,00060,S100024,INBOUND,PO 4500000034 Item 00060 - Acknowledged,Supplier response received; details require buyer review.,2026-05-23,2026-05-23,urgent,2026-04-05,478,REGRELLO
MSG000000118,4500000035,00010,S100034,OUTBOUND,PO 4500000035 Item 00010 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-13,,urgent,2026-06-23,0,PORTAL
MSG000000119,4500000035,00020,S100034,INBOUND,PO 4500000035 Item 00020 - Rejected,Supplier rejected PO line. Capacity unavailable. Buyer action required.,2026-05-19,2026-05-26,negative,,36,GMAIL
MSG000000120,4500000035,00040,S100034,INBOUND,PO 4500000035 Item 00040 - Partial,Supplier response received; details require buyer review.,2026-05-27,2026-05-17,neutral,2026-07-05,70,REGRELLO
MSG000000121,4500000035,00050,S100034,OUTBOUND,PO 4500000035 Item 00050 - Acknowledged,Supplier response received; details require buyer review.,2026-05-27,,positive,2026-05-10,26,PORTAL
MSG000000122,4500000036,00020,S100050,INBOUND,PO 4500000036 Item 00020 - Partial,Supplier response received; details require buyer review.,2026-05-18,2026-05-28,urgent,2026-03-16,76,REGRELLO
MSG000000123,4500000036,00030,S100050,OUTBOUND,PO 4500000036 Item 00030 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-15,,urgent,2026-04-10,0,OUTLOOK
MSG000000124,4500000036,00040,S100050,INBOUND,PO 4500000036 Item 00040 - Promised Late,Supplier advised revised delivery date of 2026-03-25 due to capacity constraints.,2026-05-23,2026-05-24,concerned,2026-03-25,936,PORTAL
MSG000000125,4500000036,00050,S100050,INBOUND,PO 4500000036 Item 00050 - Qty Dispute,Supplier response received; details require buyer review.,2026-05-16,2026-05-26,urgent,2026-04-24,2017,PORTAL
MSG000000126,4500000036,00060,S100050,OUTBOUND,PO 4500000036 Item 00060 - Qty Dispute,Supplier response received; details require buyer review.,2026-05-22,,positive,2026-03-20,12,GMAIL
MSG000000127,4500000037,00010,S100048,INBOUND,PO 4500000037 Item 00010 - Promised Late,Supplier advised revised delivery date of 2026-07-11 due to capacity constraints.,2026-05-13,2026-05-19,concerned,2026-07-11,3452,GMAIL
MSG000000128,4500000037,00020,S100048,OUTBOUND,PO 4500000037 Item 00020 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-16,,urgent,2026-06-05,0,OUTLOOK
MSG000000129,4500000038,00010,S100034,INBOUND,PO 4500000038 Item 00010 - Acknowledged,Supplier response received; details require buyer review.,2026-05-23,2026-05-19,neutral,2026-05-15,85,GMAIL
MSG000000130,4500000038,00020,S100034,INBOUND,PO 4500000038 Item 00020 - Promised Late,Supplier advised revised delivery date of 2026-05-14 due to capacity constraints.,2026-05-18,2026-05-20,concerned,2026-05-14,184,OUTLOOK
MSG000000131,4500000038,00040,S100034,OUTBOUND,PO 4500000038 Item 00040 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-20,,urgent,2026-05-21,0,REGRELLO
MSG000000132,4500000038,00050,S100034,INBOUND,PO 4500000038 Item 00050 - Rejected,Supplier rejected PO line. Capacity unavailable. Buyer action required.,2026-05-18,2026-05-28,negative,,665,OUTLOOK
MSG000000133,4500000039,00010,S100039,INBOUND,PO 4500000039 Item 00010 - Acknowledged,Supplier response received; details require buyer review.,2026-05-15,2026-05-22,concerned,2026-05-18,18,REGRELLO
MSG000000134,4500000039,00020,S100039,INBOUND,PO 4500000039 Item 00020 - Acknowledged,Supplier response received; details require buyer review.,2026-05-13,2026-05-17,urgent,2026-07-06,1738,PORTAL
MSG000000135,4500000039,00030,S100039,INBOUND,PO 4500000039 Item 00030 - Rejected,Supplier rejected PO line. Capacity unavailable. Buyer action required.,2026-05-21,2026-05-18,negative,,277,GMAIL
MSG000000136,4500000039,00040,S100039,INBOUND,PO 4500000039 Item 00040 - Rejected,Supplier rejected PO line. Capacity unavailable. Buyer action required.,2026-05-22,2026-05-13,negative,,1848,OUTLOOK
MSG000000137,4500000039,00060,S100039,INBOUND,PO 4500000039 Item 00060 - Promised Late,Supplier advised revised delivery date of 2026-08-16 due to capacity constraints.,2026-05-14,2026-05-26,concerned,2026-08-16,969,OUTLOOK
MSG000000138,4500000039,00070,S100039,OUTBOUND,PO 4500000039 Item 00070 - Partial,Supplier response received; details require buyer review.,2026-05-14,,negative,2026-07-09,757,PORTAL
