supplier_id,business_partner_id,supplier_name,country,region,payment_terms,incoterms,supplier_tier,risk_score,avg_response_days,on_time_delivery_pct,quality_ppm,created_on,blocked_flag
S100036,BP200036,Vertex Global 36,CN,,NET60,FOB,APPROVED,37,2.7,79,908,2021-11-17,N
S100037,BP200037,Summit Materials,MX,,2%10NET30,DDP,APPROVED,33,0.5,82,1183,2023-02-17,N
S100038,BP200038,Nova Manufacturing 38,US,,NET45,FOB,PREFERRED,32,0.5,86,553,2020-06-05,N
S100039,BP200039,Apex Precision,US,,NET45,DDP,STRATEGIC,19,3.2,85,1330,2020-06-28,N
S100040,BP200040,Nova Electronics,CA,,NET45,FOB,APPROVED,15,0.5,82,339,2022-06-14,N
S100041,BP200041,Vertex Precision,CA,,2%10NET30,DAP,APPROVED,23,2.1,90,2333,2024-09-29,Y
S100042,BP200042,Vector Precision 42,US,,2%10NET30,DAP,STRATEGIC,2,0.5,93,1340,2022-08-17,N
S100043,BP200043,Helio Industries,US,,NET60,DDP,STRATEGIC,31,4.5,87,421,2022-10-21,N
S100044,BP200044,Summit Components 44,IN,,NET45,DDP,APPROVED,52,4.1,64,32,2020-11-24,N
S100045,BP200045,Nova Global,CA,,NET60,DDP,APPROVED,27,5.6,73,427,2019-09-09,N
S100046,BP200046,Nova Materials,DE,,2%10NET30,EXW,PREFERRED,1,1.6,99,120,2021-10-20,N
S100047,BP200047,Nexus Global,US,,NET45,DAP,APPROVED,4,2.5,98,527,2024-08-02,N
S100048,BP200048,BlueRock Supply,CA,,NET45,DDP,PREFERRED,30,4.5,80,739,2019-02-19,N
S100049,BP200049,Helio Components 49,US,,2%10NET30,FOB,PREFERRED,39,5.5,77,218,2019-10-07,N
S100050,BP200050,Quantum Global,TW,,NET45,DDP,CONDITIONAL,37,0.5,83,2117,2024-06-10,N
