po_number,item_number,material_id,material_description,plant,storage_location,order_qty,uom,net_price,price_unit,item_value,delivery_date,item_category,account_assignment_category,deletion_flag,delivery_completed_flag,invoice_receipt_flag,goods_receipt_flag
4500000004,00030,M500176,Backplane Lite-927,DAL1,REC1,200,EA,10.12,1,2023.59,2026-03-10,CONSIGNMENT,K,N,N,Y,Y
4500000004,00040,M500259,Connector C-752,AUS1,0002,200,EA,18.77,1,3753.82,2026-03-28,SUBCON,,N,N,Y,Y
4500000004,00050,M500160,Bracket C-492,DAL1,0001,1000,EA,15.42,1,15419.37,2026-02-12,SUBCON,,N,N,N,Y
4500000004,00060,M500121,Power Cable C-148,MTY1,0002,400,EA,14.28,1,5710.85,2026-03-18,STANDARD,K,N,N,Y,Y
4500000005,00010,M500244,Ribbon Cable B-554,KCH1,REC1,2000,M,1.06,1,2117.22,2026-05-26,SUBCON,K,N,N,Y,Y
4500000005,00020,M500124,Foam Insert Lite-554,DAL1,0002,400,EA,2.60,1,1040.89,2026-06-02,SUBCON,K,N,N,Y,Y
4500000005,00030,M500090,Carton Pro-211,MTY1,0001,80,EA,3.78,1,302.36,2026-07-15,SUBCON,,N,N,Y,Y
4500000006,00010,M500265,Voltage Regulator C-874,MTY1,QI01,750,EA,15.78,1,11832.86,2026-04-30,STANDARD,K,N,N,Y,Y
4500000007,00010,M500093,Power Cable X-723,KCH1,0001,250,EA,7.89,1,1973.71,2026-05-03,CONSIGNMENT,K,N,N,Y,Y
4500000008,00010,M500102,Harness Pro-772,DAL1,0002,4000,M,203.62,1,814464.22,2026-06-01,SUBCON,F,N,N,Y,Y
4500000008,00020,M500016,MOSFET C-379,MTY1,0001,200,EA,6.89,1,1378.48,2026-07-07,CONSIGNMENT,,N,N,Y,Y
4500000008,00030,M500186,Voltage Regulator X-813,AUS1,0002,60,EA,7.12,1,427.32,2026-05-20,CONSIGNMENT,K,N,N,Y,N
4500000008,00040,M500222,RF Board Pro-290,PHX1,0002,40,EA,2.77,1,110.85,2026-05-05,STANDARD,K,N,N,Y,Y
4500000008,00050,M500134,Power Cable X-511,MTY1,0002,10,EA,9.17,1,91.73,2026-04-20,SUBCON,F,N,N,Y,Y
4500000008,00060,M500266,Fan Module C-915,KCH1,0002,500,EA,1.28,1,640.99,2026-06-10,CONSIGNMENT,,N,Y,N,Y
4500000009,00010,M500259,Connector C-752,DAL1,0001,4000,EA,19.89,1,79546.01,2026-06-20,CONSIGNMENT,K,N,N,Y,Y
4500000009,00020,M500210,Fan Module Lite-237,KCH1,0001,1000,EA,13.42,1,13416.88,2026-07-01,SUBCON,K,N,Y,Y,Y
4500000009,00030,M500239,Relay C-469,PHX1,0001,2000,EA,0.72,1,1442.63,2026-07-31,SUBCON,K,N,N,Y,Y
4500000009,00040,M500072,Switch Pro-452,DAL1,0002,200,EA,5.53,1,1105.29,2026-07-21,SUBCON,K,N,N,Y,Y
4500000009,00050,M500131,Memory Chip A-219,KCH1,0001,200,EA,8.08,1,1616.61,2026-06-14,CONSIGNMENT,F,N,N,Y,Y
4500000009,00060,M500069,Sensor IC Pro-264,PHX1,QI01,200,EA,14.20,1,2839.61,2026-08-15,STANDARD,F,N,Y,Y,N
4500000009,00070,M500265,Voltage Regulator C-874,DAL1,0001,1000,EA,13.60,1,13598.15,2026-06-22,SUBCON,,N,N,N,Y
4500000010,00010,M500227,RF Board A-259,MTY1,0002,10,EA,17.19,1,171.92,2026-05-01,SUBCON,K,N,N,Y,Y
4500000010,00020,M500163,Ribbon Cable X-537,MTY1,0001,20,M,7.22,1,144.39,2026-03-31,STANDARD,,N,N,Y,Y
4500000010,00030,M500244,Ribbon Cable B-554,MTY1,REC1,500,M,0.87,1,433.84,2026-03-24,CONSIGNMENT,K,N,N,Y,Y
4500000010,00040,M500044,Carton Pro-236,KCH1,0001,40,EA,4.37,1,174.89,2026-04-05,STANDARD,K,N,N,Y,Y
4500000011,00010,M500049,Memory Chip Pro-662,DAL1,0001,100,EA,17.41,1,1741.06,2026-06-26,CONSIGNMENT,,N,Y,Y,Y
4500000011,00020,M500265,Voltage Regulator C-874,PHX1,REC1,100,EA,14.06,1,1405.95,2026-06-22,STANDARD,,N,Y,Y,Y
4500000011,00030,M500057,Sensor IC C-737,AUS1,0001,200,EA,1.26,1,252.43,2026-05-15,SUBCON,K,N,N,Y,Y
4500000011,00040,M500161,Fan Module B-715,PHX1,0002,3000,EA,4.43,1,13278.63,2026-06-14,STANDARD,,N,N,Y,Y
4500000011,00050,M500152,Signal Cable X-451,AUS1,0002,1000,EA,14.30,1,14302.65,2026-04-29,SUBCON,F,N,N,Y,Y
4500000011,00060,M500026,Relay X-235,AUS1,0002,4000,EA,14.87,1,59466.47,2026-06-28,CONSIGNMENT,F,N,Y,N,Y
4500000012,00010,M500022,Motor Assembly C-778,PHX1,0001,60,EA,13.63,1,817.59,2026-04-19,SUBCON,F,N,N,Y,Y
4500000012,00020,M500274,Nut Lite-590,MTY1,0001,500,EA,79.62,1,39808.84,2026-05-11,SUBCON,K,N,N,Y,Y
4500000012,00030,M500191,Fan Module C-932,KCH1,REC1,40,EA,7.07,1,282.62,2026-02-21,STANDARD,K,N,N,Y,Y
4500000013,00010,M500123,Sensor IC C-816,DAL1,0001,1000,EA,20.07,1,20067.11,2026-05-28,CONSIGNMENT,,N,N,Y,Y
4500000013,00020,M500084,Fan Module A-843,PHX1,BLK1,10,EA,5.75,1,57.54,2026-05-03,CONSIGNMENT,K,N,N,Y,Y
4500000013,00030,M500126,Bolt Lite-317,MTY1,0001,1000,EA,2.41,1,2411.96,2026-06-20,SUBCON,,N,N,Y,Y
4500000014,00010,M500154,Standoff B-357,AUS1,0001,500,EA,18.28,1,9140.04,2026-04-20,SUBCON,K,N,Y,Y,Y
4500000014,00020,M500095,Sensor IC Lite-863,DAL1,0001,2000,EA,3.49,1,6975.39,2026-04-08,STANDARD,K,N,N,Y,Y
4500000014,00030,M500099,MOSFET X-773,PHX1,REC1,20,EA,32.50,1,650.09,2026-02-24,SUBCON,K,N,N,Y,Y
4500000014,00040,M500228,Harness Pro-684,AUS1,REC1,300,EA,28.15,1,8445.59,2026-03-05,CONSIGNMENT,F,N,N,N,Y
4500000014,00050,M500064,Control Board Pro-941,MTY1,0002,100,EA,6.40,1,640.47,2026-03-29,CONSIGNMENT,K,N,N,Y,Y
4500000014,00060,M500142,Control Board Lite-794,MTY1,0001,100,EA,24.86,1,2486.05,2026-03-29,STANDARD,K,N,N,Y,Y
4500000015,00010,M500174,Harness B-713,KCH1,0002,1000,EA,8.68,1,8679.05,2026-07-04,STANDARD,F,N,N,Y,N
4500000015,00020,M500014,Microcontroller A-362,DAL1,0001,40,EA,5.36,1,214.25,2026-06-11,SUBCON,K,N,N,Y,Y
4500000016,00010,M500002,Switch B-493,MTY1,0001,40,EA,14.83,1,593.16,2026-05-17,CONSIGNMENT,F,N,N,Y,Y
4500000016,00020,M500107,Voltage Regulator Lite-555,MTY1,REC1,80,EA,3.88,1,310.39,2026-03-27,STANDARD,F,N,N,Y,Y
4500000016,00030,M500070,Microcontroller B-635,AUS1,0001,30,EA,41.61,1,1248.41,2026-03-06,STANDARD,K,N,N,Y,Y
4500000016,00040,M500227,RF Board A-259,AUS1,BLK1,80,EA,13.22,1,1057.51,2026-03-02,CONSIGNMENT,K,N,N,Y,Y
4500000016,00050,M500196,Pallet Kit A-376,DAL1,0001,1500,EA,9.38,1,14070.21,2026-02-25,SUBCON,F,N,N,Y,Y
4500000017,00010,M500156,Standoff Pro-256,AUS1,0001,500,EA,12.96,1,6479.67,2026-05-28,SUBCON,F,N,Y,Y,Y
4500000017,00020,M500196,Pallet Kit A-376,DAL1,0001,10,EA,11.36,1,113.59,2026-07-03,CONSIGNMENT,,N,N,N,Y
4500000017,00030,M500034,Cleaning Kit X-421,MTY1,0001,80,EA,11.86,1,948.66,2026-07-16,CONSIGNMENT,K,N,N,Y,Y
4500000017,00040,M500094,Sensor IC C-678,PHX1,0002,300,EA,24.77,1,7429.96,2026-05-12,SUBCON,K,N,N,Y,Y
4500000018,00010,M500226,Mount Plate B-794,AUS1,0002,400,EA,4.03,1,1612.21,2026-02-12,CONSIGNMENT,F,N,N,Y,Y
4500000018,00020,M500247,MOSFET A-754,AUS1,0001,10,EA,26.79,1,267.93,2026-04-10,SUBCON,F,N,N,Y,Y
4500000018,00030,M500038,Power Board Lite-502,KCH1,0001,1000,EA,92.99,1,92988.85,2026-04-29,CONSIGNMENT,K,N,N,N,N
4500000018,00040,M500128,Fan Module X-743,AUS1,0001,100,EA,19.54,1,1954.43,2026-04-27,CONSIGNMENT,,N,N,Y,Y
4500000018,00050,M500056,Power Board A-492,MTY1,0001,100,EA,22.55,1,2254.66,2026-02-17,CONSIGNMENT,K,N,N,Y,Y
4500000019,00010,M500213,Interface PCB X-500,PHX1,0001,20,EA,1.76,1,35.12,2026-06-04,STANDARD,K,N,N,N,Y
4500000019,00020,M500062,Switch Lite-780,AUS1,0002,300,EA,10.89,1,3265.58,2026-06-09,SUBCON,F,N,N,N,N
4500000019,00030,M500281,Fan Module X-875,AUS1,0001,80,EA,8.81,1,704.74,2026-07-19,CONSIGNMENT,,N,Y,Y,N
4500000019,00040,M500143,Switch A-941,AUS1,REC1,1000,EA,24.91,1,24912.87,2026-07-03,CONSIGNMENT,F,N,Y,Y,Y
4500000019,00050,M500210,Fan Module Lite-237,KCH1,0001,100,EA,13.01,1,1301.30,2026-05-21,CONSIGNMENT,,N,N,Y,Y
4500000019,00060,M500148,Connector Pro-142,AUS1,REC1,500,EA,25.63,1,12816.77,2026-08-06,SUBCON,,N,N,Y,Y
4500000019,00070,M500148,Connector Pro-142,AUS1,0001,750,EA,23.28,1,17457.80,2026-07-06,SUBCON,K,N,N,Y,N
4500000020,00010,M500089,Power Board B-803,KCH1,0001,1000,EA,8.30,1,8297.61,2026-05-16,STANDARD,F,N,N,Y,Y
4500000020,00020,M500057,Sensor IC C-737,MTY1,0002,200,EA,1.43,1,286.98,2026-03-10,STANDARD,K,N,N,Y,Y
4500000020,00030,M500276,Harness B-124,MTY1,REC1,1000,M,6.52,1,6515.47,2026-06-04,CONSIGNMENT,,N,N,Y,Y
4500000020,00040,M500085,Power Cable Pro-678,MTY1,0001,1500,M,7.65,1,11467.99,2026-03-28,STANDARD,,N,Y,N,N
4500000020,00050,M500058,Control Board C-934,DAL1,QI01,2000,EA,20.41,1,40822.35,2026-03-16,SUBCON,F,N,N,Y,Y
4500000020,00060,M500251,Label Set A-720,PHX1,REC1,400,EA,2.85,1,1139.19,2026-05-12,STANDARD,K,N,N,N,Y
4500000021,00010,M500037,Fan Module X-271,PHX1,0001,2000,EA,1.28,1,2566.33,2026-05-21,STANDARD,F,N,N,Y,Y
4500000021,00020,M500165,Heat Sink Pro-651,DAL1,0001,1000,EA,4.81,1,4814.86,2026-05-30,CONSIGNMENT,F,N,Y,Y,Y
4500000021,00030,M500033,Motor Assembly Pro-624,KCH1,0002,150,EA,5.91,1,885.89,2026-05-12,CONSIGNMENT,,Y,N,Y,Y
4500000021,00040,M500127,Label Set X-389,AUS1,REC1,20,EA,4.97,1,99.32,2026-06-01,CONSIGNMENT,K,N,N,Y,Y
4500000021,00050,M500034,Cleaning Kit X-421,MTY1,0001,1000,EA,13.45,1,13449.05,2026-04-29,STANDARD,K,N,N,Y,Y
4500000021,00060,M500030,Power Board C-420,PHX1,REC1,1000,EA,57.51,1,57505.55,2026-06-12,CONSIGNMENT,,N,N,Y,Y
4500000022,00010,M500132,Power Cable Pro-973,DAL1,0001,40,EA,14.89,1,595.58,2026-04-19,CONSIGNMENT,,N,Y,Y,Y
4500000022,00020,M500057,Sensor IC C-737,MTY1,0001,500,EA,1.02,1,512.02,2026-05-02,STANDARD,K,N,N,Y,Y
4500000022,00030,M500251,Label Set A-720,PHX1,REC1,1000,EA,2.07,1,2074.10,2026-06-07,SUBCON,F,N,N,Y,Y
4500000022,00040,M500289,Screw C-483,AUS1,0001,750,EA,9.77,1,7326.99,2026-03-22,STANDARD,K,N,Y,Y,Y
4500000023,00010,M500074,Switch A-667,AUS1,0001,80,EA,1.19,1,95.15,2026-06-19,CONSIGNMENT,K,N,N,Y,Y
4500000023,00020,M500009,Power Cable A-547,AUS1,0001,40,M,6.36,1,254.45,2026-07-15,SUBCON,F,N,N,Y,Y
4500000023,00030,M500260,Backplane X-152,KCH1,0001,40,EA,1.16,1,46.32,2026-07-12,STANDARD,,N,N,Y,Y
4500000023,00040,M500131,Memory Chip A-219,MTY1,REC1,500,EA,8.09,1,4045.59,2026-07-01,CONSIGNMENT,,N,Y,Y,Y
4500000023,00050,M500298,Motor Assembly Lite-879,DAL1,0002,200,EA,1.42,1,283.49,2026-05-01,CONSIGNMENT,,N,N,Y,Y
4500000024,00010,M500044,Carton Pro-236,PHX1,0001,500,EA,5.05,1,2523.62,2026-04-27,SUBCON,F,N,N,Y,Y
4500000024,00020,M500218,Backplane A-346,DAL1,REC1,40,EA,11.35,1,453.82,2026-02-24,SUBCON,K,N,N,Y,Y
4500000024,00030,M500008,Motor Assembly X-524,KCH1,0001,750,EA,14.72,1,11039.42,2026-02-27,CONSIGNMENT,F,N,Y,Y,Y
4500000024,00040,M500273,Bracket A-154,KCH1,0001,80,EA,2.02,1,161.67,2026-04-22,CONSIGNMENT,F,N,Y,Y,Y
4500000024,00050,M500266,Fan Module C-915,PHX1,0001,10,EA,1.86,1,18.65,2026-04-01,SUBCON,,N,N,Y,Y
4500000024,00060,M500262,Microcontroller X-787,KCH1,0001,60,EA,4.25,1,255.28,2026-05-10,CONSIGNMENT,F,N,N,Y,Y
4500000024,00070,M500014,Microcontroller A-362,DAL1,QI01,300,EA,4.53,1,1359.50,2026-03-19,STANDARD,K,Y,N,Y,Y
4500000025,00010,M500212,Carton X-168,KCH1,0001,50,EA,9.68,1,483.76,2026-03-31,CONSIGNMENT,K,Y,N,Y,Y
4500000025,00020,M500204,Driver IC X-812,PHX1,0001,200,EA,78.37,1,15673.03,2026-03-06,CONSIGNMENT,,N,Y,Y,N
4500000025,00030,M500274,Nut Lite-590,MTY1,0001,200,EA,102.38,1,20475.51,2026-05-24,CONSIGNMENT,K,N,N,Y,Y
4500000025,00040,M500081,Power Board C-698,KCH1,0002,100,EA,7.95,1,794.91,2026-03-05,CONSIGNMENT,F,N,Y,N,Y
4500000026,00010,M500144,Signal Cable B-985,KCH1,0001,10,M,17.01,1,170.10,2026-05-03,SUBCON,,N,Y,Y,Y
4500000026,00020,M500236,Harness Lite-177,KCH1,0001,10,M,71.12,1,711.19,2026-06-18,STANDARD,,N,N,Y,Y
4500000027,00010,M500227,RF Board A-259,DAL1,0001,20,EA,17.58,1,351.57,2026-05-10,CONSIGNMENT,,N,N,Y,N
4500000027,00020,M500140,Harness C-191,DAL1,0001,100,EA,3.24,1,323.98,2026-05-09,STANDARD,,N,N,Y,Y
4500000027,00030,M500066,Heat Sink A-302,DAL1,0001,2000,EA,6.72,1,13435.36,2026-07-07,SUBCON,,N,N,Y,Y
4500000028,00010,M500220,Connector Lite-864,KCH1,0001,1000,EA,23.43,1,23429.93,2026-07-09,SUBCON,K,N,N,N,Y
4500000028,00020,M500293,Sensor IC C-241,DAL1,0001,3000,EA,1.19,1,3582.93,2026-06-21,CONSIGNMENT,K,N,N,Y,Y
4500000028,00030,M500132,Power Cable Pro-973,AUS1,0002,1000,EA,15.81,1,15807.16,2026-06-07,CONSIGNMENT,K,N,N,Y,Y
4500000028,00040,M500205,Label Set Lite-350,KCH1,0001,100,EA,0.27,1,27.42,2026-05-14,SUBCON,K,N,Y,Y,Y
4500000028,00050,M500009,Power Cable A-547,MTY1,0002,2000,M,5.07,1,10130.57,2026-08-05,STANDARD,F,N,N,Y,Y
4500000029,00010,M500142,Control Board Lite-794,DAL1,0001,250,EA,27.41,1,6851.85,2026-05-15,STANDARD,F,N,Y,Y,Y
4500000029,00020,M500019,Screw A-756,AUS1,0001,200,EA,11.04,1,2208.07,2026-06-08,CONSIGNMENT,,N,N,Y,Y
4500000029,00030,M500022,Motor Assembly C-778,PHX1,0001,1000,EA,11.58,1,11577.18,2026-06-06,STANDARD,,N,N,Y,Y
4500000029,00040,M500085,Power Cable Pro-678,KCH1,0001,200,M,9.24,1,1847.55,2026-06-22,SUBCON,F,N,N,Y,Y
4500000029,00050,M500208,Connector B-433,AUS1,0001,250,EA,13.50,1,3375.62,2026-04-27,SUBCON,K,N,N,Y,Y
4500000029,00060,M500104,Voltage Regulator A-837,PHX1,REC1,300,EA,15.45,1,4635.50,2026-05-30,STANDARD,K,N,N,Y,N
4500000029,00070,M500181,Voltage Regulator Pro-111,AUS1,0001,10,EA,18.46,1,184.59,2026-07-09,SUBCON,K,N,N,Y,Y
4500000030,00010,M500230,Microcontroller C-472,PHX1,0001,100,EA,2.57,1,256.58,2026-04-27,SUBCON,,N,N,Y,Y
4500000030,00020,M500122,Power Board C-803,PHX1,0001,3000,EA,33.48,1,100452.91,2026-03-31,CONSIGNMENT,F,N,Y,Y,Y
4500000030,00030,M500259,Connector C-752,DAL1,0001,10,EA,20.85,1,208.50,2026-03-09,CONSIGNMENT,K,N,N,N,Y
4500000030,00040,M500025,Lubricant Pro-840,MTY1,0001,30,EA,6.41,1,192.25,2026-04-26,SUBCON,F,N,N,N,Y
4500000030,00050,M500109,Driver IC A-809,KCH1,0001,100,EA,2.46,1,246.42,2026-03-24,SUBCON,F,N,N,Y,N
4500000030,00060,M500028,Carton B-615,DAL1,0001,2000,EA,13.84,1,27674.34,2026-04-10,CONSIGNMENT,F,N,N,Y,Y
4500000030,00070,M500020,Voltage Regulator X-627,PHX1,0001,100,EA,9.35,1,935.44,2026-02-23,SUBCON,F,N,Y,Y,Y
4500000031,00010,M500016,MOSFET C-379,MTY1,0002,40,EA,5.84,1,233.58,2026-04-12,CONSIGNMENT,K,N,N,Y,Y
4500000031,00020,M500131,Memory Chip A-219,KCH1,0001,500,EA,5.87,1,2936.25,2026-04-12,SUBCON,K,N,N,Y,Y
4500000031,00030,M500096,Power Board Lite-876,PHX1,QI01,1000,EA,16.32,1,16320.30,2026-04-22,SUBCON,F,N,N,N,Y
4500000031,00040,M500150,Signal Cable A-477,DAL1,0001,3000,M,9.85,1,29543.62,2026-04-25,STANDARD,K,N,N,Y,Y
4500000031,00050,M500096,Power Board Lite-876,PHX1,0001,30,EA,13.52,1,405.46,2026-04-15,CONSIGNMENT,,N,N,Y,N
4500000032,00010,M500254,Voltage Regulator B-829,AUS1,0001,60,EA,1.76,1,105.58,2026-06-12,SUBCON,K,N,N,Y,Y
4500000032,00020,M500153,MOSFET A-325,KCH1,0001,500,EA,2.80,1,1398.46,2026-05-04,CONSIGNMENT,,N,N,Y,Y
4500000032,00030,M500297,Harness A-266,AUS1,0001,60,M,14.93,1,895.51,2026-05-11,SUBCON,,N,N,Y,Y
4500000032,00040,M500057,Sensor IC C-737,DAL1,0001,100,EA,1.58,1,157.73,2026-06-07,STANDARD,,N,N,Y,Y
4500000032,00050,M500299,Standoff C-665,PHX1,0001,250,EA,3.24,1,810.57,2026-05-11,CONSIGNMENT,F,N,N,Y,Y
4500000032,00060,M500080,Foam Insert A-372,AUS1,REC1,750,EA,6.58,1,4934.69,2026-03-29,STANDARD,,N,N,Y,Y
4500000033,00010,M500065,Memory Chip Pro-402,PHX1,0001,1000,EA,10.32,1,10321.48,2026-07-04,STANDARD,,N,Y,Y,Y
4500000033,00020,M500118,Power IC X-218,PHX1,0001,4000,EA,4.14,1,16551.56,2026-05-16,SUBCON,K,N,N,Y,Y
4500000033,00030,M500004,Power Cable Pro-326,KCH1,REC1,200,M,36.32,1,7263.08,2026-06-23,CONSIGNMENT,F,N,Y,Y,Y
4500000033,00040,M500224,Cleaning Kit B-507,KCH1,REC1,2000,EA,3.39,1,6787.14,2026-05-21,CONSIGNMENT,,N,N,Y,Y
4500000034,00010,M500215,Motor Assembly A-506,AUS1,0001,100,EA,3.37,1,337.27,2026-03-29,SUBCON,K,N,N,Y,Y
4500000034,00020,M500145,Carton B-419,KCH1,0002,500,EA,8.23,1,4117.28,2026-05-04,SUBCON,K,N,N,Y,Y
4500000034,00030,M500222,RF Board Pro-290,DAL1,0001,500,EA,2.15,1,1074.69,2026-05-05,STANDARD,K,N,N,Y,Y
4500000034,00040,M500145,Carton B-419,KCH1,0001,1500,EA,11.46,1,17187.06,2026-04-17,STANDARD,,N,N,Y,Y
4500000034,00050,M500165,Heat Sink Pro-651,MTY1,0002,200,EA,5.69,1,1137.33,2026-04-12,CONSIGNMENT,,N,N,Y,Y
4500000034,00060,M500297,Harness A-266,MTY1,0001,1000,M,22.56,1,22560.18,2026-04-05,SUBCON,,N,Y,Y,Y
4500000035,00010,M500163,Ribbon Cable X-537,DAL1,0001,100,M,10.08,1,1008.02,2026-06-23,CONSIGNMENT,F,Y,N,Y,Y
4500000035,00020,M500231,Label Set Lite-133,KCH1,0001,40,EA,40.83,1,1633.08,2026-05-16,STANDARD,F,N,N,Y,Y
4500000035,00030,M500155,Interface PCB C-348,KCH1,0001,100,EA,11.98,1,1198.38,2026-05-11,STANDARD,F,N,N,Y,Y
4500000035,00040,M500117,Label Set Pro-456,MTY1,0002,80,EA,25.90,1,2072.24,2026-07-05,CONSIGNMENT,,N,N,Y,Y
4500000035,00050,M500218,Backplane A-346,KCH1,0001,60,EA,12.37,1,742.36,2026-05-10,CONSIGNMENT,F,N,N,Y,Y
4500000036,00010,M500102,Harness Pro-772,KCH1,0001,250,M,159.36,1,39838.97,2026-05-17,CONSIGNMENT,F,N,Y,Y,Y
4500000036,00020,M500112,Power IC A-125,AUS1,0001,100,EA,65.76,1,6576.01,2026-03-16,STANDARD,F,N,N,Y,Y
4500000036,00030,M500231,Label Set Lite-133,AUS1,0002,4000,EA,30.65,1,122618.01,2026-04-10,SUBCON,,N,N,Y,Y
4500000036,00040,M500236,Harness Lite-177,KCH1,REC1,1000,M,76.00,1,75995.18,2026-03-17,SUBCON,,N,Y,Y,Y
4500000036,00050,M500067,Sensor IC B-369,KCH1,0001,3000,EA,30.28,1,90839.17,2026-04-24,CONSIGNMENT,K,N,N,Y,Y
4500000036,00060,M500220,Connector Lite-864,KCH1,0002,20,EA,16.29,1,325.83,2026-03-20,CONSIGNMENT,,N,Y,Y,Y
4500000036,00070,M500266,Fan Module C-915,AUS1,0001,750,EA,1.21,1,904.94,2026-04-20,STANDARD,F,N,N,Y,Y
4500000037,00010,M500094,Sensor IC C-678,KCH1,REC1,4000,EA,21.68,1,86733.41,2026-06-17,SUBCON,F,N,N,N,Y
4500000037,00020,M500186,Voltage Regulator X-813,MTY1,0001,80,EA,4.45,1,356.12,2026-06-05,CONSIGNMENT,,N,N,Y,Y
4500000037,00030,M500177,Connector A-656,DAL1,0001,40,EA,4.94,1,197.61,2026-06-25,STANDARD,F,N,Y,Y,Y
4500000038,00010,M500220,Connector Lite-864,DAL1,0002,100,EA,24.38,1,2437.66,2026-05-15,STANDARD,F,N,N,Y,Y
4500000038,00020,M500290,Memory Chip Pro-298,AUS1,0002,300,EA,14.61,1,4383.57,2026-05-02,SUBCON,,N,N,Y,Y
4500000038,00030,M500288,Carton X-239,AUS1,REC1,1500,EA,11.48,1,17220.79,2026-06-26,CONSIGNMENT,K,N,N,Y,Y
4500000038,00040,M500098,Screw B-776,KCH1,0001,1000,EA,17.79,1,17786.49,2026-05-21,SUBCON,F,N,N,Y,Y
4500000038,00050,M500146,Ribbon Cable C-550,KCH1,0001,1000,M,4.57,1,4573.75,2026-05-02,CONSIGNMENT,K,N,N,Y,Y
4500000039,00010,M500155,Interface PCB C-348,AUS1,0001,40,EA,18.39,1,735.59,2026-05-18,STANDARD,K,N,Y,Y,Y
4500000039,00020,M500211,Label Set B-388,MTY1,QI01,2000,EA,34.17,1,68346.54,2026-07-06,SUBCON,K,N,N,Y,Y
4500000039,00030,M500065,Memory Chip Pro-402,PHX1,0001,300,EA,12.87,1,3861.46,2026-06-22,SUBCON,F,N,N,Y,Y
4500000039,00040,M500286,Connector A-824,AUS1,0001,4000,EA,3.97,1,15882.16,2026-06-24,CONSIGNMENT,K,N,N,Y,Y
4500000039,00050,M500109,Driver IC A-809,AUS1,0001,100,EA,2.41,1,241.12,2026-06-30,SUBCON,,N,N,Y,Y
4500000039,00060,M500218,Backplane A-346,KCH1,0001,1000,EA,9.49,1,9490.67,2026-08-05,CONSIGNMENT,K,N,N,Y,Y
4500000039,00070,M500155,Interface PCB C-348,AUS1,0002,1000,EA,13.95,1,13950.45,2026-07-09,STANDARD,,N,Y,Y,Y
4500000040,00010,M500024,Mount Plate B-971,PHX1,0001,100,EA,22.02,1,2202.26,2026-07-08,SUBCON,K,N,Y,Y,Y
4500000041,00010,M500157,Power Cable Lite-159,MTY1,0002,100,EA,29.09,1,2908.92,2026-05-03,CONSIGNMENT,,N,N,Y,Y
4500000041,00020,M500177,Connector A-656,AUS1,0001,100,EA,3.95,1,394.60,2026-02-19,STANDARD,,N,Y,Y,N
