recommendation_id,exception_id,agent_name,confidence_score,recommended_action,draft_subject,draft_message,approval_status,created_on
AR00000014,EX00000014,PO_OVERDUE_AGENT,0.89,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000003,"Hello, please provide an update for PO 4500000003 item 00040. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000015,EX00000015,PO_OVERDUE_AGENT,0.73,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000003,"Hello, please provide an update for PO 4500000003 item 00040. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000016,EX00000016,PO_OVERDUE_AGENT,0.89,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000003,"Hello, please provide an update for PO 4500000003 item 00050. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000017,EX00000017,PO_OVERDUE_AGENT,0.77,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000003,"Hello, please provide an update for PO 4500000003 item 00050. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000018,EX00000018,PO_OVERDUE_AGENT,0.91,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000003,"Hello, please provide an update for PO 4500000003 item 00050. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000019,EX00000019,SUPPLIER_ACK_AGENT,0.7,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000004,"Hello, please provide an update for PO 4500000004 item 00010. Send acknowledgement reminder and escalate if no response in 24 hours.",REJECTED,2026-05-28
AR00000020,EX00000020,PO_OVERDUE_AGENT,0.87,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000004,"Hello, please provide an update for PO 4500000004 item 00020. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000021,EX00000021,PO_OVERDUE_AGENT,0.95,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000004,"Hello, please provide an update for PO 4500000004 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000022,EX00000022,PO_OVERDUE_AGENT,0.77,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000004,"Hello, please provide an update for PO 4500000004 item 00030. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000023,EX00000023,PO_OVERDUE_AGENT,0.87,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000004,"Hello, please provide an update for PO 4500000004 item 00040. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000024,EX00000024,PO_OVERDUE_AGENT,0.95,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000004,"Hello, please provide an update for PO 4500000004 item 00040. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000025,EX00000025,PO_OVERDUE_AGENT,0.81,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000004,"Hello, please provide an update for PO 4500000004 item 00050. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000026,EX00000026,PO_OVERDUE_AGENT,0.97,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000004,"Hello, please provide an update for PO 4500000004 item 00060. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000027,EX00000027,PO_OVERDUE_AGENT,0.79,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000004,"Hello, please provide an update for PO 4500000004 item 00060. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000028,EX00000028,SUPPLIER_ACK_AGENT,0.91,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000005,"Hello, please provide an update for PO 4500000005 item 00020. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000029,EX00000029,SUPPLIER_ACK_AGENT,0.74,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000005,"Hello, please provide an update for PO 4500000005 item 00020. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000030,EX00000030,SUPPLIER_ACK_AGENT,0.86,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000005,"Hello, please provide an update for PO 4500000005 item 00020. Send acknowledgement reminder and escalate if no response in 24 hours.",SENT,2026-05-28
AR00000031,EX00000031,PO_OVERDUE_AGENT,0.84,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000007,"Hello, please provide an update for PO 4500000007 item 00010. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000032,EX00000032,SUPPLIER_ACK_AGENT,0.78,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000007,"Hello, please provide an update for PO 4500000007 item 00010. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000033,EX00000033,PO_OVERDUE_AGENT,0.74,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000007,"Hello, please provide an update for PO 4500000007 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000034,EX00000034,SUPPLIER_ACK_AGENT,0.91,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000008,"Hello, please provide an update for PO 4500000008 item 00010. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000035,EX00000035,PO_OVERDUE_AGENT,0.93,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000008,"Hello, please provide an update for PO 4500000008 item 00030. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000036,EX00000036,PO_OVERDUE_AGENT,0.75,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000008,"Hello, please provide an update for PO 4500000008 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000037,EX00000037,PO_OVERDUE_AGENT,0.88,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000008,"Hello, please provide an update for PO 4500000008 item 00030. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000038,EX00000038,PO_OVERDUE_AGENT,0.72,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000008,"Hello, please provide an update for PO 4500000008 item 00040. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000039,EX00000039,SUPPLIER_ACK_AGENT,0.73,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000009,"Hello, please provide an update for PO 4500000009 item 00020. Request split shipment or alternate source review.",PENDING,2026-05-28
AR00000040,EX00000040,SUPPLIER_ACK_AGENT,0.93,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000009,"Hello, please provide an update for PO 4500000009 item 00050. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000041,EX00000041,SUPPLIER_ACK_AGENT,0.81,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000009,"Hello, please provide an update for PO 4500000009 item 00050. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000042,EX00000042,SUPPLIER_ACK_AGENT,0.86,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000009,"Hello, please provide an update for PO 4500000009 item 00060. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000043,EX00000043,PO_OVERDUE_AGENT,0.79,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000010,"Hello, please provide an update for PO 4500000010 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000044,EX00000044,SUPPLIER_ACK_AGENT,0.77,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000010,"Hello, please provide an update for PO 4500000010 item 00010. Send acknowledgement reminder and escalate if no response in 24 hours.",APPROVED,2026-05-28
AR00000045,EX00000045,SUPPLIER_ACK_AGENT,0.91,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000010,"Hello, please provide an update for PO 4500000010 item 00020. Request split shipment or alternate source review.",APPROVED,2026-05-28
AR00000046,EX00000046,PO_OVERDUE_AGENT,0.82,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000010,"Hello, please provide an update for PO 4500000010 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000047,EX00000047,PO_OVERDUE_AGENT,0.86,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000010,"Hello, please provide an update for PO 4500000010 item 00040. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000048,EX00000048,PO_OVERDUE_AGENT,0.8,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000011,"Hello, please provide an update for PO 4500000011 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000049,EX00000049,SUPPLIER_ACK_AGENT,0.85,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000011,"Hello, please provide an update for PO 4500000011 item 00020. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000050,EX00000050,PO_OVERDUE_AGENT,0.96,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000011,"Hello, please provide an update for PO 4500000011 item 00030. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000051,EX00000051,PO_OVERDUE_AGENT,0.83,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000011,"Hello, please provide an update for PO 4500000011 item 00050. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000052,EX00000052,PO_OVERDUE_AGENT,0.96,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000012,"Hello, please provide an update for PO 4500000012 item 00010. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000053,EX00000053,PO_OVERDUE_AGENT,0.7,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000012,"Hello, please provide an update for PO 4500000012 item 00020. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000054,EX00000054,PO_OVERDUE_AGENT,0.95,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000012,"Hello, please provide an update for PO 4500000012 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000055,EX00000055,PO_OVERDUE_AGENT,0.68,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000014,"Hello, please provide an update for PO 4500000014 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000056,EX00000056,PO_OVERDUE_AGENT,0.83,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000014,"Hello, please provide an update for PO 4500000014 item 00030. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000057,EX00000057,PO_OVERDUE_AGENT,0.85,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000014,"Hello, please provide an update for PO 4500000014 item 00040. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000058,EX00000058,PO_OVERDUE_AGENT,0.81,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000014,"Hello, please provide an update for PO 4500000014 item 00050. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000059,EX00000059,PO_OVERDUE_AGENT,0.8,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000014,"Hello, please provide an update for PO 4500000014 item 00060. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000060,EX00000060,PO_OVERDUE_AGENT,0.9,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000015,"Hello, please provide an update for PO 4500000015 item 00020. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000061,EX00000061,PO_OVERDUE_AGENT,0.96,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000016,"Hello, please provide an update for PO 4500000016 item 00010. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000062,EX00000062,PO_OVERDUE_AGENT,0.68,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000016,"Hello, please provide an update for PO 4500000016 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000063,EX00000063,SUPPLIER_ACK_AGENT,0.91,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000016,"Hello, please provide an update for PO 4500000016 item 00040. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000064,EX00000064,SUPPLIER_ACK_AGENT,0.86,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000016,"Hello, please provide an update for PO 4500000016 item 00040. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000065,EX00000065,PO_OVERDUE_AGENT,0.78,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000016,"Hello, please provide an update for PO 4500000016 item 00050. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000066,EX00000066,SUPPLIER_ACK_AGENT,0.71,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000017,"Hello, please provide an update for PO 4500000017 item 00030. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000067,EX00000067,SUPPLIER_ACK_AGENT,0.96,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000017,"Hello, please provide an update for PO 4500000017 item 00040. Send acknowledgement reminder and escalate if no response in 24 hours.",APPROVED,2026-05-28
AR00000068,EX00000068,PO_OVERDUE_AGENT,0.93,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000018,"Hello, please provide an update for PO 4500000018 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000069,EX00000069,PO_OVERDUE_AGENT,0.68,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000018,"Hello, please provide an update for PO 4500000018 item 00010. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000070,EX00000070,PO_OVERDUE_AGENT,0.9,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000018,"Hello, please provide an update for PO 4500000018 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000071,EX00000071,PO_OVERDUE_AGENT,0.82,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000018,"Hello, please provide an update for PO 4500000018 item 00030. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000072,EX00000072,PO_OVERDUE_AGENT,0.7,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000018,"Hello, please provide an update for PO 4500000018 item 00040. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000073,EX00000073,PO_OVERDUE_AGENT,0.79,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000018,"Hello, please provide an update for PO 4500000018 item 00040. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000074,EX00000074,PO_OVERDUE_AGENT,0.86,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000018,"Hello, please provide an update for PO 4500000018 item 00050. Send expedite request and ask for revised commit date.",REJECTED,2026-05-28
AR00000075,EX00000075,PO_OVERDUE_AGENT,0.83,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000019,"Hello, please provide an update for PO 4500000019 item 00050. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000076,EX00000076,SUPPLIER_ACK_AGENT,0.7,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000019,"Hello, please provide an update for PO 4500000019 item 00050. Request split shipment or alternate source review.",PENDING,2026-05-28
AR00000077,EX00000077,PO_OVERDUE_AGENT,0.9,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000019,"Hello, please provide an update for PO 4500000019 item 00070. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000078,EX00000078,PO_OVERDUE_AGENT,0.94,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000020,"Hello, please provide an update for PO 4500000020 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000079,EX00000079,SUPPLIER_ACK_AGENT,0.79,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000020,"Hello, please provide an update for PO 4500000020 item 00010. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000080,EX00000080,PO_OVERDUE_AGENT,0.79,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000020,"Hello, please provide an update for PO 4500000020 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000081,EX00000081,SUPPLIER_ACK_AGENT,0.85,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000020,"Hello, please provide an update for PO 4500000020 item 00030. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000082,EX00000082,PO_OVERDUE_AGENT,0.86,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000020,"Hello, please provide an update for PO 4500000020 item 00040. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000083,EX00000083,PO_OVERDUE_AGENT,0.87,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000020,"Hello, please provide an update for PO 4500000020 item 00050. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000084,EX00000084,PO_OVERDUE_AGENT,0.79,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000020,"Hello, please provide an update for PO 4500000020 item 00060. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000085,EX00000085,PO_OVERDUE_AGENT,0.9,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000020,"Hello, please provide an update for PO 4500000020 item 00060. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000086,EX00000086,PO_OVERDUE_AGENT,0.77,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000021,"Hello, please provide an update for PO 4500000021 item 00010. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000087,EX00000087,PO_OVERDUE_AGENT,0.7,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000021,"Hello, please provide an update for PO 4500000021 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000088,EX00000088,PO_OVERDUE_AGENT,0.84,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000021,"Hello, please provide an update for PO 4500000021 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000089,EX00000089,PO_OVERDUE_AGENT,0.81,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000021,"Hello, please provide an update for PO 4500000021 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000090,EX00000090,PO_OVERDUE_AGENT,0.74,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000021,"Hello, please provide an update for PO 4500000021 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000091,EX00000091,PO_OVERDUE_AGENT,0.96,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000021,"Hello, please provide an update for PO 4500000021 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000092,EX00000092,PO_OVERDUE_AGENT,0.78,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000021,"Hello, please provide an update for PO 4500000021 item 00050. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000093,EX00000093,SUPPLIER_ACK_AGENT,0.76,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000021,"Hello, please provide an update for PO 4500000021 item 00060. Send acknowledgement reminder and escalate if no response in 24 hours.",APPROVED,2026-05-28
AR00000094,EX00000094,SUPPLIER_ACK_AGENT,0.85,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000021,"Hello, please provide an update for PO 4500000021 item 00060. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000095,EX00000095,PO_OVERDUE_AGENT,0.91,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000022,"Hello, please provide an update for PO 4500000022 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000096,EX00000096,PO_OVERDUE_AGENT,0.86,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000022,"Hello, please provide an update for PO 4500000022 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000097,EX00000097,PO_OVERDUE_AGENT,0.82,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000022,"Hello, please provide an update for PO 4500000022 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000098,EX00000098,PO_OVERDUE_AGENT,0.95,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000022,"Hello, please provide an update for PO 4500000022 item 00040. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000099,EX00000099,SUPPLIER_ACK_AGENT,0.88,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000023,"Hello, please provide an update for PO 4500000023 item 00010. Request split shipment or alternate source review.",PENDING,2026-05-28
AR00000100,EX00000100,SUPPLIER_ACK_AGENT,0.79,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000023,"Hello, please provide an update for PO 4500000023 item 00010. Request split shipment or alternate source review.",PENDING,2026-05-28
AR00000101,EX00000101,SUPPLIER_ACK_AGENT,0.8,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000023,"Hello, please provide an update for PO 4500000023 item 00010. Request split shipment or alternate source review.",PENDING,2026-05-28
AR00000102,EX00000102,SUPPLIER_ACK_AGENT,0.81,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000023,"Hello, please provide an update for PO 4500000023 item 00040. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000103,EX00000103,SUPPLIER_ACK_AGENT,0.9,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000023,"Hello, please provide an update for PO 4500000023 item 00040. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000104,EX00000104,SUPPLIER_ACK_AGENT,0.73,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000023,"Hello, please provide an update for PO 4500000023 item 00040. Send acknowledgement reminder and escalate if no response in 24 hours.",REJECTED,2026-05-28
AR00000105,EX00000105,PO_OVERDUE_AGENT,0.79,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000023,"Hello, please provide an update for PO 4500000023 item 00050. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000106,EX00000106,PO_OVERDUE_AGENT,0.95,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000023,"Hello, please provide an update for PO 4500000023 item 00050. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000107,EX00000107,PO_OVERDUE_AGENT,0.77,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000023,"Hello, please provide an update for PO 4500000023 item 00050. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000108,EX00000108,PO_OVERDUE_AGENT,0.86,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000024,"Hello, please provide an update for PO 4500000024 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000109,EX00000109,PO_OVERDUE_AGENT,0.9,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000024,"Hello, please provide an update for PO 4500000024 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000110,EX00000110,PO_OVERDUE_AGENT,0.87,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000024,"Hello, please provide an update for PO 4500000024 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
