material_id,material_description,material_group,base_uom,division,product_hierarchy,abc_indicator,critical_part_flag,serial_managed_flag,batch_managed_flag,standard_price,currency
M500059,Memory Chip C-346,SEMICON,EA,20,SEM-5557,A,Y,N,N,3.24,USD
M500060,Driver IC X-320,SEMICON,EA,20,SEM-4122,C,Y,N,N,38.43,USD
M500061,Mount Plate Lite-865,CASTING,EA,30,CAS-5684,C,N,Y,Y,6.44,USD
M500062,Switch Lite-780,ELECTROMECH,EA,10,ELE-7251,B,N,N,N,9.02,USD
M500063,Foam Insert X-656,PACKAGING,EA,30,PAC-7609,A,N,N,N,5.84,USD
M500064,Control Board Pro-941,PCB,EA,10,PCB-5237,B,N,N,N,6.45,USD
M500065,Memory Chip Pro-402,SEMICON,EA,30,SEM-3360,B,N,N,N,10.24,USD
M500066,Heat Sink A-302,CASTING,EA,30,CAS-8982,C,N,N,N,5.28,USD
M500067,Sensor IC B-369,SEMICON,EA,30,SEM-2252,C,N,N,N,33.15,USD
M500068,Driver IC X-337,SEMICON,EA,10,SEM-5331,B,Y,N,N,4.98,USD
M500069,Sensor IC Pro-264,SEMICON,EA,10,SEM-9399,A,N,Y,N,12.55,USD
M500070,Microcontroller B-635,SEMICON,EA,30,SEM-7877,C,N,N,N,38.12,USD
M500071,Standoff A-535,FASTENER,EA,10,FAS-5170,B,N,N,N,27.18,USD
M500072,Switch Pro-452,ELECTROMECH,EA,30,ELE-7522,C,N,N,N,5.84,USD
M500073,Standoff C-299,FASTENER,EA,10,FAS-9364,B,N,N,Y,18.46,USD
M500074,Switch A-667,ELECTROMECH,EA,10,ELE-8807,B,N,N,N,0.88,USD
M500075,Motor Assembly A-614,ELECTROMECH,EA,20,ELE-7450,C,N,N,Y,8.59,USD
M500076,Power Board Pro-234,PCB,EA,30,PCB-4744,C,N,N,N,18.85,USD
M500077,Label Set A-521,PACKAGING,EA,10,PAC-6752,C,N,N,N,11.48,USD
M500078,Microcontroller X-661,SEMICON,EA,10,SEM-1431,C,N,N,Y,10.42,USD
M500079,Memory Chip X-406,SEMICON,EA,10,SEM-8052,C,N,N,N,6.97,USD
M500080,Foam Insert A-372,PACKAGING,EA,20,PAC-2169,B,N,N,N,6.51,USD
M500081,Power Board C-698,PCB,EA,10,PCB-7484,C,Y,Y,N,7.27,USD
M500082,Switch Pro-475,ELECTROMECH,EA,20,ELE-1011,C,N,N,N,11.65,USD
M500083,Harness C-326,CABLE,M,10,CAB-4419,C,N,N,N,12.31,USD
M500084,Fan Module A-843,ELECTROMECH,EA,10,ELE-5660,C,N,N,N,5.03,USD
M500085,Power Cable Pro-678,CABLE,M,20,CAB-9231,C,N,N,N,9.55,USD
M500086,Carton Lite-155,PACKAGING,EA,10,PAC-3419,C,N,Y,N,2.15,USD
M500087,Gloves X-776,MRO,EA,20,MRO-6901,C,Y,N,N,3.60,USD
M500088,Interface PCB B-613,PCB,EA,20,PCB-2015,C,N,N,N,5.01,USD
M500089,Power Board B-803,PCB,EA,10,PCB-6886,A,N,N,N,6.90,USD
M500090,Carton Pro-211,PACKAGING,EA,20,PAC-8485,C,Y,N,N,3.88,USD
M500091,Washer B-283,FASTENER,EA,30,FAS-1840,B,N,N,N,10.70,USD
M500092,Sensor IC Pro-405,SEMICON,EA,20,SEM-2436,A,N,N,N,16.11,USD
M500093,Power Cable X-723,CABLE,EA,20,CAB-9608,C,N,N,N,7.96,USD
M500094,Sensor IC C-678,SEMICON,EA,30,SEM-6169,C,Y,N,N,21.61,USD
M500095,Sensor IC Lite-863,SEMICON,EA,20,SEM-1368,C,N,N,N,3.66,USD
M500096,Power Board Lite-876,PCB,EA,30,PCB-9740,A,N,N,N,12.37,USD
M500097,Relay C-313,ELECTROMECH,EA,30,ELE-8063,C,N,N,N,1.87,USD
M500098,Screw B-776,FASTENER,EA,10,FAS-8421,B,N,N,N,13.48,USD
M500099,MOSFET X-773,SEMICON,EA,20,SEM-3224,A,N,N,N,32.41,USD
M500100,Power Cable X-461,CABLE,EA,20,CAB-3744,A,N,N,N,9.28,USD
M500101,Fan Module C-587,ELECTROMECH,EA,30,ELE-9724,B,N,N,N,9.04,USD
M500102,Harness Pro-772,CABLE,M,30,CAB-2995,C,N,N,Y,155.75,USD
M500103,Foam Insert Pro-758,PACKAGING,EA,10,PAC-8234,C,N,Y,N,3.49,USD
M500104,Voltage Regulator A-837,SEMICON,EA,30,SEM-4907,B,Y,N,N,12.02,USD
M500105,Bracket C-956,CASTING,EA,10,CAS-1746,C,N,N,Y,4.82,USD
M500106,Signal Cable Pro-190,CABLE,EA,20,CAB-7861,A,N,Y,N,2.47,USD
M500107,Voltage Regulator Lite-555,SEMICON,EA,30,SEM-6340,B,N,N,N,3.15,USD
M500108,Fan Module B-878,ELECTROMECH,EA,20,ELE-4602,C,N,N,N,10.52,USD
M500109,Driver IC A-809,SEMICON,EA,30,SEM-7662,C,Y,N,N,1.85,USD
M500110,Power IC B-652,SEMICON,EA,10,SEM-8839,C,N,N,N,60.22,USD
M500111,Bracket X-455,CASTING,EA,20,CAS-8272,C,Y,N,Y,8.63,USD
M500112,Power IC A-125,SEMICON,EA,20,SEM-9182,C,N,N,Y,57.68,USD
M500113,Mount Plate C-495,CASTING,EA,20,CAS-1199,B,N,N,N,18.28,USD
M500114,Control Board Pro-863,PCB,EA,20,PCB-8872,C,N,N,N,12.38,USD
M500115,Harness Pro-870,CABLE,M,30,CAB-6285,C,N,N,N,25.10,USD
M500116,Driver IC B-117,SEMICON,EA,20,SEM-6705,B,N,N,N,17.80,USD
M500117,Label Set Pro-456,PACKAGING,EA,20,PAC-3630,C,N,N,N,23.44,USD
M500118,Power IC X-218,SEMICON,EA,20,SEM-5646,B,N,N,N,3.41,USD
M500119,Tool Bit Pro-795,MRO,EA,20,MRO-3502,B,N,N,N,8.79,USD
M500120,Carton Lite-449,PACKAGING,EA,20,PAC-2594,B,N,N,Y,4.35,USD
M500121,Power Cable C-148,CABLE,EA,30,CAB-7586,C,N,N,N,11.72,USD
M500122,Power Board C-803,PCB,EA,30,PCB-4868,B,Y,N,N,25.85,USD
M500123,Sensor IC C-816,SEMICON,EA,10,SEM-6185,B,N,N,N,15.29,USD
M500124,Foam Insert Lite-554,PACKAGING,EA,30,PAC-3229,A,N,N,N,3.07,USD
M500125,Ribbon Cable A-476,CABLE,M,30,CAB-2922,A,N,N,N,27.68,USD
M500126,Bolt Lite-317,FASTENER,EA,30,FAS-7283,C,N,N,Y,2.34,USD
M500127,Label Set X-389,PACKAGING,EA,20,PAC-5321,B,N,N,N,5.87,USD
M500128,Fan Module X-743,ELECTROMECH,EA,20,ELE-1095,B,Y,N,N,18.06,USD
M500129,Label Set Lite-717,PACKAGING,EA,10,PAC-6882,C,N,N,N,32.76,USD
M500130,Switch C-701,ELECTROMECH,EA,30,ELE-8454,C,N,N,N,4.52,USD
M500131,Memory Chip A-219,SEMICON,EA,10,SEM-3497,C,N,N,Y,7.20,USD
M500132,Power Cable Pro-973,CABLE,EA,10,CAB-5806,C,N,N,N,12.81,USD
M500133,Carton Pro-142,PACKAGING,EA,30,PAC-2727,A,N,N,N,35.75,USD
M500134,Power Cable X-511,CABLE,EA,30,CAB-6139,C,Y,N,N,7.19,USD
M500135,Interface PCB Pro-696,PCB,EA,10,PCB-6919,B,Y,N,N,2.14,USD
M500136,Relay Pro-972,ELECTROMECH,EA,20,ELE-2807,A,N,Y,Y,3.97,USD
M500137,Backplane Lite-738,PCB,EA,20,PCB-7344,B,N,N,N,63.70,USD
M500138,Backplane X-186,PCB,EA,30,PCB-6249,B,Y,N,Y,6.66,USD
M500139,Fan Module A-595,ELECTROMECH,EA,10,ELE-7676,C,N,Y,N,9.79,USD
M500140,Harness C-191,CABLE,EA,30,CAB-3014,C,N,N,N,2.71,USD
M500141,Bolt A-326,FASTENER,EA,30,FAS-1324,C,N,N,N,40.15,USD
M500142,Control Board Lite-794,PCB,EA,30,PCB-5143,C,N,Y,N,20.77,USD
M500143,Switch A-941,ELECTROMECH,EA,20,ELE-9514,C,N,N,N,30.88,USD
M500144,Signal Cable B-985,CABLE,M,20,CAB-7290,B,N,N,Y,19.66,USD
M500145,Carton B-419,PACKAGING,EA,30,PAC-8140,B,N,N,N,8.94,USD
M500146,Ribbon Cable C-550,CABLE,M,30,CAB-6896,A,Y,N,Y,4.14,USD
M500147,Motor Assembly X-751,ELECTROMECH,EA,10,ELE-1756,C,N,N,N,3.38,USD
M500148,Connector Pro-142,ELECTROMECH,EA,20,ELE-9392,C,N,N,N,18.94,USD
M500149,Pallet Kit Lite-933,PACKAGING,EA,20,PAC-6581,C,N,N,N,13.10,USD
M500150,Signal Cable A-477,CABLE,M,10,CAB-6353,C,N,N,Y,9.32,USD
M500151,Ribbon Cable Pro-436,CABLE,EA,20,CAB-8580,C,N,N,N,6.20,USD
M500152,Signal Cable X-451,CABLE,EA,10,CAB-7499,A,N,N,Y,14.88,USD
M500153,MOSFET A-325,SEMICON,EA,10,SEM-3750,C,Y,N,N,3.33,USD
M500154,Standoff B-357,FASTENER,EA,10,FAS-6314,C,N,N,N,14.12,USD
M500155,Interface PCB C-348,PCB,EA,10,PCB-9836,A,N,N,N,13.15,USD
M500156,Standoff Pro-256,FASTENER,EA,30,FAS-3878,B,N,N,N,10.13,USD
M500157,Power Cable Lite-159,CABLE,EA,20,CAB-5043,B,Y,N,N,24.54,USD
M500158,Label Set B-375,PACKAGING,EA,30,PAC-4432,C,N,N,N,9.36,USD
M500159,Nut B-469,FASTENER,EA,30,FAS-7528,B,Y,N,N,2.04,USD
M500160,Bracket C-492,CASTING,EA,20,CAS-4610,C,N,N,N,13.41,USD
M500161,Fan Module B-715,ELECTROMECH,EA,20,ELE-3389,C,N,N,Y,4.13,USD
M500162,Bracket A-661,CASTING,EA,20,CAS-6528,B,N,N,N,18.91,USD
M500163,Ribbon Cable X-537,CABLE,M,10,CAB-2573,B,N,N,Y,8.53,USD
M500164,Harness B-774,CABLE,M,10,CAB-3948,A,N,N,Y,12.28,USD
M500165,Heat Sink Pro-651,CASTING,EA,30,CAS-4438,C,N,Y,Y,4.39,USD
M500166,Backplane A-800,PCB,EA,30,PCB-7664,A,N,N,N,6.32,USD
M500167,Mount Plate X-706,CASTING,EA,10,CAS-5244,A,N,N,Y,3.44,USD
M500168,Harness Lite-345,CABLE,M,10,CAB-1940,A,N,N,N,2.08,USD
M500169,Label Set A-532,PACKAGING,EA,20,PAC-7211,A,N,N,N,21.14,USD
M500170,Switch Lite-303,ELECTROMECH,EA,10,ELE-4105,B,N,N,N,7.84,USD
M500171,Power IC Lite-353,SEMICON,EA,30,SEM-8031,A,N,N,N,8.21,USD
M500172,RF Board B-427,PCB,EA,10,PCB-3977,A,Y,N,N,4.59,USD
M500173,Memory Chip A-208,SEMICON,EA,10,SEM-2971,A,N,N,N,2.87,USD
M500174,Harness B-713,CABLE,EA,30,CAB-3112,B,N,Y,N,8.00,USD
M500175,Interface PCB Pro-221,PCB,EA,10,PCB-4668,A,Y,Y,Y,1.03,USD
M500176,Backplane Lite-927,PCB,EA,20,PCB-3550,B,N,N,Y,7.55,USD
M500177,Connector A-656,ELECTROMECH,EA,30,ELE-5382,C,N,N,Y,3.72,USD
M500178,Pallet Kit A-215,PACKAGING,EA,30,PAC-8003,C,N,Y,N,3.08,USD
M500179,Voltage Regulator A-812,SEMICON,EA,30,SEM-3344,B,Y,N,N,25.20,USD
M500180,Control Board C-213,PCB,EA,10,PCB-1983,C,Y,N,N,126.13,USD
M500181,Voltage Regulator Pro-111,SEMICON,EA,20,SEM-4075,C,N,Y,N,14.49,USD
M500182,Sensor IC X-588,SEMICON,EA,30,SEM-1612,B,Y,N,N,28.76,USD
M500183,Power Cable A-172,CABLE,M,30,CAB-8548,B,N,N,N,11.36,USD
M500184,Bracket Lite-940,CASTING,EA,30,CAS-1130,A,N,N,N,19.29,USD
M500185,Power Cable B-950,CABLE,M,10,CAB-8021,B,N,N,N,6.10,USD
M500186,Voltage Regulator X-813,SEMICON,EA,30,SEM-3721,C,Y,N,N,5.56,USD
M500187,Label Set X-316,PACKAGING,EA,10,PAC-8448,C,N,N,N,2.08,USD
M500188,Memory Chip A-743,SEMICON,EA,30,SEM-3507,A,N,N,Y,3.45,USD
M500189,Connector X-203,ELECTROMECH,EA,20,ELE-1359,B,N,N,N,2.07,USD
M500190,Label Set B-913,PACKAGING,EA,10,PAC-8992,B,N,N,N,5.57,USD
M500191,Fan Module C-932,ELECTROMECH,EA,20,ELE-4246,A,N,N,N,6.89,USD
M500192,Relay X-405,ELECTROMECH,EA,30,ELE-8447,B,N,N,N,96.85,USD
M500193,Switch C-891,ELECTROMECH,EA,30,ELE-8908,B,N,N,Y,19.46,USD
M500194,Power IC Pro-763,SEMICON,EA,10,SEM-3413,B,Y,Y,Y,7.38,USD
M500195,Heat Sink X-310,CASTING,EA,10,CAS-4335,B,N,N,N,1.75,USD
M500196,Pallet Kit A-376,PACKAGING,EA,30,PAC-9508,C,Y,N,N,11.59,USD
M500197,Power IC Lite-954,SEMICON,EA,10,SEM-1817,B,N,N,N,31.50,USD
M500198,Power IC A-404,SEMICON,EA,30,SEM-8555,B,N,N,N,2.41,USD
M500199,Sensor IC Lite-623,SEMICON,EA,30,SEM-1868,C,N,N,N,11.15,USD
M500200,Control Board Pro-604,PCB,EA,20,PCB-5508,B,N,Y,N,7.06,USD
M500201,Relay A-972,ELECTROMECH,EA,30,ELE-3607,B,N,N,N,5.30,USD
M500202,Motor Assembly B-188,ELECTROMECH,EA,30,ELE-1397,C,N,N,N,26.02,USD
M500203,Screw B-309,FASTENER,EA,30,FAS-6400,C,N,N,N,13.17,USD
M500204,Driver IC X-812,SEMICON,EA,10,SEM-8040,C,N,Y,Y,78.48,USD
M500205,Label Set Lite-350,PACKAGING,EA,30,PAC-5383,B,N,Y,N,0.27,USD
M500206,Pallet Kit X-901,PACKAGING,EA,30,PAC-1935,C,N,N,N,9.15,USD
M500207,Tool Bit B-364,MRO,EA,20,MRO-5252,C,N,N,Y,10.32,USD
M500208,Connector B-433,ELECTROMECH,EA,30,ELE-7084,C,N,Y,N,11.20,USD
M500209,Cleaning Kit X-850,MRO,EA,20,MRO-6929,A,N,Y,N,7.85,USD
M500210,Fan Module Lite-237,ELECTROMECH,EA,30,ELE-4005,C,N,N,N,13.99,USD
M500211,Label Set B-388,PACKAGING,EA,30,PAC-7987,C,N,N,N,26.34,USD
M500212,Carton X-168,PACKAGING,EA,20,PAC-4416,C,Y,N,N,11.28,USD
M500213,Interface PCB X-500,PCB,EA,20,PCB-7966,B,N,N,N,1.54,USD
M500214,Control Board B-746,PCB,EA,30,PCB-5051,A,N,N,N,2.91,USD
M500215,Motor Assembly A-506,ELECTROMECH,EA,10,ELE-8325,B,N,N,N,3.26,USD
M500216,Signal Cable A-403,CABLE,M,20,CAB-5820,C,N,N,N,44.05,USD
M500217,Power IC Lite-672,SEMICON,EA,10,SEM-6651,C,N,N,N,43.45,USD
M500218,Backplane A-346,PCB,EA,30,PCB-7442,B,N,N,N,8.92,USD
M500219,Sensor IC C-436,SEMICON,EA,10,SEM-7043,C,N,Y,N,17.73,USD
M500220,Connector Lite-864,ELECTROMECH,EA,10,ELE-6098,B,N,N,N,19.18,USD
M500221,MOSFET X-455,SEMICON,EA,30,SEM-5729,B,N,N,N,15.04,USD
M500222,RF Board Pro-290,PCB,EA,10,PCB-8192,C,N,N,N,2.60,USD
M500223,Pallet Kit A-841,PACKAGING,EA,10,PAC-3525,C,N,N,N,4.69,USD
M500224,Cleaning Kit B-507,MRO,EA,30,MRO-9476,C,N,Y,N,3.66,USD
M500225,Harness C-849,CABLE,M,30,CAB-7491,B,Y,Y,N,12.69,USD
M500226,Mount Plate B-794,CASTING,EA,20,CAS-5467,A,N,N,N,3.70,USD
M500227,RF Board A-259,PCB,EA,30,PCB-3731,C,N,N,N,15.84,USD
M500228,Harness Pro-684,CABLE,EA,10,CAB-6325,C,N,N,N,20.29,USD
M500229,Bolt X-906,FASTENER,EA,10,FAS-2697,A,N,N,N,3.38,USD
M500230,Microcontroller C-472,SEMICON,EA,30,SEM-9332,C,N,N,N,3.16,USD
M500231,Label Set Lite-133,PACKAGING,EA,20,PAC-2619,C,N,N,N,33.61,USD
M500232,Washer Pro-410,FASTENER,EA,10,FAS-4403,B,N,N,N,11.23,USD
M500233,Fan Module A-874,ELECTROMECH,EA,10,ELE-8988,A,N,N,N,0.65,USD
M500234,Fan Module X-105,ELECTROMECH,EA,20,ELE-1906,C,N,N,N,13.29,USD
M500235,Driver IC Lite-523,SEMICON,EA,10,SEM-3464,C,N,N,N,3.99,USD
M500236,Harness Lite-177,CABLE,M,30,CAB-2840,B,N,N,Y,63.09,USD
M500237,Heat Sink Lite-988,CASTING,EA,30,CAS-3500,A,N,N,Y,25.44,USD
M500238,Washer X-150,FASTENER,EA,20,FAS-8185,B,N,N,N,3.22,USD
M500239,Relay C-469,ELECTROMECH,EA,20,ELE-2069,B,N,N,N,0.90,USD
M500240,Power Board A-529,PCB,EA,10,PCB-2841,C,N,N,N,3.72,USD
M500241,Heat Sink Pro-207,CASTING,EA,10,CAS-4706,B,N,N,N,6.86,USD
M500242,Backplane C-164,PCB,EA,20,PCB-7988,C,N,N,N,7.46,USD
M500243,Bolt C-239,FASTENER,EA,30,FAS-5915,A,N,N,N,64.30,USD
M500244,Ribbon Cable B-554,CABLE,M,30,CAB-5513,C,Y,Y,N,1.08,USD
M500245,Pallet Kit Pro-721,PACKAGING,EA,30,PAC-7157,C,N,N,Y,11.01,USD
M500246,Power IC A-399,SEMICON,EA,20,SEM-1464,C,N,N,N,3.47,USD
M500247,MOSFET A-754,SEMICON,EA,20,SEM-6126,C,N,N,N,30.13,USD
M500248,Power Board B-996,PCB,EA,10,PCB-8214,C,Y,Y,N,24.27,USD
M500249,Power Cable Lite-818,CABLE,M,20,CAB-5409,C,Y,N,N,0.62,USD
M500250,Lubricant A-724,MRO,EA,10,MRO-6871,C,N,Y,Y,6.73,USD
M500251,Label Set A-720,PACKAGING,EA,10,PAC-1969,C,Y,Y,N,2.08,USD
M500252,Power Board B-937,PCB,EA,20,PCB-4085,C,Y,Y,N,6.45,USD
M500253,RF Board Pro-498,PCB,EA,20,PCB-9152,C,N,N,N,8.62,USD
M500254,Voltage Regulator B-829,SEMICON,EA,20,SEM-2195,C,N,N,N,2.04,USD
M500255,Heat Sink X-806,CASTING,EA,10,CAS-7813,C,N,N,N,16.54,USD
M500256,Label Set A-879,PACKAGING,EA,10,PAC-7470,C,N,N,N,8.13,USD
M500257,Microcontroller B-449,SEMICON,EA,20,SEM-3875,B,Y,N,N,3.24,USD
M500258,Ribbon Cable Lite-429,CABLE,EA,10,CAB-3350,C,N,Y,Y,2.09,USD
M500259,Connector C-752,ELECTROMECH,EA,30,ELE-3856,C,N,N,Y,18.12,USD
M500260,Backplane X-152,PCB,EA,10,PCB-4558,B,N,N,N,0.85,USD
M500261,Standoff Pro-852,FASTENER,EA,30,FAS-1578,C,N,Y,Y,21.52,USD
M500262,Microcontroller X-787,SEMICON,EA,30,SEM-6633,C,N,N,Y,3.05,USD
M500263,Fan Module X-824,ELECTROMECH,EA,20,ELE-3168,C,N,N,N,12.94,USD
M500264,Microcontroller A-821,SEMICON,EA,10,SEM-4268,C,N,N,N,2.10,USD
M500265,Voltage Regulator C-874,SEMICON,EA,10,SEM-3661,B,N,N,N,11.47,USD
M500266,Fan Module C-915,ELECTROMECH,EA,20,ELE-8596,C,N,N,N,1.46,USD
M500267,MOSFET A-461,SEMICON,EA,10,SEM-2096,C,N,N,Y,8.76,USD
M500268,Bolt C-668,FASTENER,EA,20,FAS-6424,C,N,N,N,38.06,USD
M500269,Power IC Pro-594,SEMICON,EA,30,SEM-3394,C,N,N,N,20.17,USD
M500270,Connector Lite-721,ELECTROMECH,EA,20,ELE-5665,A,N,N,Y,38.51,USD
M500271,Label Set B-345,PACKAGING,EA,10,PAC-1396,A,N,N,Y,4.09,USD
M500272,Connector B-872,ELECTROMECH,EA,30,ELE-5198,B,N,N,Y,14.29,USD
M500273,Bracket A-154,CASTING,EA,20,CAS-4527,C,N,N,N,2.46,USD
M500274,Nut Lite-590,FASTENER,EA,10,FAS-5379,A,N,N,N,76.76,USD
M500275,Foam Insert B-944,PACKAGING,EA,30,PAC-7493,A,N,Y,N,11.85,USD
M500276,Harness B-124,CABLE,M,10,CAB-5846,A,N,N,Y,6.49,USD
M500277,MOSFET B-707,SEMICON,EA,30,SEM-1462,C,N,N,N,15.00,USD
M500278,Foam Insert X-144,PACKAGING,EA,20,PAC-3992,B,N,N,N,67.10,USD
M500279,Interface PCB X-510,PCB,EA,30,PCB-4985,C,N,N,Y,12.14,USD
M500280,Switch B-947,ELECTROMECH,EA,20,ELE-7658,A,N,N,N,31.01,USD
M500281,Fan Module X-875,ELECTROMECH,EA,30,ELE-3248,B,Y,N,N,8.91,USD
M500282,Power Cable B-763,CABLE,EA,20,CAB-5024,B,N,N,N,5.47,USD
M500283,Switch A-243,ELECTROMECH,EA,10,ELE-3013,B,N,Y,N,3.22,USD
M500284,Washer C-209,FASTENER,EA,10,FAS-4912,C,N,N,N,7.15,USD
M500285,Relay Pro-957,ELECTROMECH,EA,30,ELE-7187,A,N,N,N,1.83,USD
M500286,Connector A-824,ELECTROMECH,EA,10,ELE-2513,C,N,N,N,4.74,USD
M500287,Connector B-646,ELECTROMECH,EA,10,ELE-5024,C,N,N,N,26.70,USD
M500288,Carton X-239,PACKAGING,EA,10,PAC-5705,B,N,N,N,9.31,USD
M500289,Screw C-483,FASTENER,EA,10,FAS-6743,B,N,N,N,10.88,USD
M500290,Memory Chip Pro-298,SEMICON,EA,20,SEM-3484,B,N,N,N,16.34,USD
M500291,Gloves Pro-407,MRO,EA,20,MRO-2744,C,N,N,N,40.74,USD
M500292,Power Board Pro-923,PCB,EA,10,PCB-6506,A,N,N,Y,8.04,USD
M500293,Sensor IC C-241,SEMICON,EA,10,SEM-8574,C,N,N,N,1.18,USD
M500294,Heat Sink B-500,CASTING,EA,10,CAS-6653,A,Y,N,N,2.52,USD
M500295,Switch C-118,ELECTROMECH,EA,20,ELE-2028,B,N,N,N,10.66,USD
